2025-02-09 16:39:21 [ERROR]: Error adding Principle: User already exists
2025-02-09 16:47:32 [ERROR]: Error adding Principle: User already exists
2025-02-09 16:47:39 [ERROR]: Error adding Principle: "contact" with value "76684445818" fails to match the required pattern: /^[0-9]{10}$/
2025-02-09 16:47:51 [INFO]: Principle Mohan madhav Singhal added successfully
2025-02-09 16:49:05 [INFO]: Principle Mohan madhav Singhal added successfully
2025-02-09 16:59:41 [ERROR]: Error adding Principle: User already exists
2025-02-09 17:35:34 [ERROR]: Error adding Principle: User already exists
2025-02-09 17:35:37 [ERROR]: Error adding Principle: User already exists
2025-02-09 17:35:51 [INFO]: Principle Mohan madhav Singhal added successfully
2025-02-09 17:35:58 [ERROR]: Error adding Principle: "contact" with value "765845819" fails to match the required pattern: /^[0-9]{10}$/
2025-02-09 17:57:41 [ERROR]: Error adding Principle: "contact" with value "765845819" fails to match the required pattern: /^[0-9]{10}$/
2025-02-13 12:48:22 [WARN]: login failed - Invalid Employeeid 25030008
2025-02-13 12:48:22 [ERROR]: ❌ Login error for 25030008: Invalid credentials
2025-02-13 12:49:00 [ERROR]: Error adding Principle: "contact" with value "765245819" fails to match the required pattern: /^[0-9]{10}$/
2025-02-13 12:49:10 [ERROR]: Error adding Principle: db already exists with different case already have: [SchoolDB] trying to create [schoolDB]
2025-02-13 12:50:07 [ERROR]: Error adding Principle: db already exists with different case already have: [SchoolDB] trying to create [schoolDB]
2025-02-13 12:50:08 [ERROR]: Error adding Principle: db already exists with different case already have: [SchoolDB] trying to create [schoolDB]
2025-02-13 12:50:54 [ERROR]: Error adding Principle: db already exists with different case already have: [SchoolDB] trying to create [schoolDB]
2025-02-13 12:52:54 [INFO]: Principle Mohan madhav Singhal added successfully
2025-02-13 12:53:34 [INFO]: ✅ Successful login: 25030002
2025-02-14 12:54:22 [INFO]: ✅ Successful login: 25030002
2025-02-14 12:54:24 [INFO]: ✅ Successful login: 25030002
2025-02-14 12:54:25 [INFO]: ✅ Successful login: 25030002
2025-02-14 12:54:26 [INFO]: ✅ Successful login: 25030002
2025-02-14 12:54:27 [INFO]: ✅ Successful login: 25030002
2025-02-14 12:54:28 [ERROR]: ❌ Login error for 25030002: Too many login attempts. Please try again later.
2025-02-14 16:37:16 [WARN]: No token found
2025-02-14 16:37:21 [WARN]: No token found
2025-02-14 16:37:29 [WARN]: No token found
2025-02-14 16:37:56 [WARN]: No token found
2025-02-14 16:38:01 [WARN]: No token found
2025-02-14 16:38:11 [WARN]: No token found
2025-02-14 16:38:29 [WARN]: No token found
2025-02-14 16:38:34 [WARN]: No token found
2025-02-14 16:38:47 [WARN]: No token found
2025-02-14 16:38:52 [WARN]: No token found
2025-02-14 16:40:02 [WARN]: No token found
2025-02-14 16:40:49 [WARN]: No token found
2025-02-14 16:44:04 [WARN]: No token found
2025-02-14 16:44:09 [WARN]: No token found
2025-02-14 16:44:14 [WARN]: No token found
2025-02-14 16:44:19 [WARN]: No token found
2025-02-14 16:44:24 [WARN]: No token found
2025-02-14 16:44:29 [WARN]: No token found
2025-02-14 16:44:34 [WARN]: No token found
2025-02-14 16:44:39 [WARN]: No token found
2025-02-14 16:44:44 [WARN]: No token found
2025-02-14 16:58:19 [WARN]: No token found
2025-02-14 16:58:24 [WARN]: No token found
2025-02-14 16:58:29 [WARN]: No token found
2025-02-14 16:58:34 [WARN]: No token found
2025-02-14 16:58:39 [WARN]: No token found
2025-02-14 16:58:44 [WARN]: No token found
2025-02-14 16:58:49 [WARN]: No token found
2025-02-14 16:58:54 [WARN]: No token found
2025-02-14 16:58:59 [WARN]: No token found
2025-02-14 16:59:04 [WARN]: No token found
2025-02-14 16:59:09 [WARN]: No token found
2025-02-14 16:59:14 [WARN]: No token found
2025-02-14 16:59:19 [WARN]: No token found
2025-02-14 16:59:24 [WARN]: No token found
2025-02-14 16:59:29 [WARN]: No token found
2025-02-14 16:59:34 [WARN]: No token found
2025-02-14 16:59:39 [WARN]: No token found
2025-02-14 16:59:44 [WARN]: No token found
2025-02-14 16:59:49 [WARN]: No token found
2025-02-14 16:59:54 [WARN]: No token found
2025-02-14 16:59:59 [WARN]: No token found
2025-02-14 17:00:04 [WARN]: No token found
2025-02-14 21:19:42 [ERROR]: ❌ Login error for 25030002: Cannot access 'input' before initialization
2025-02-14 21:21:56 [INFO]: ✅ Successful login: 25030002
2025-02-14 21:23:07 [WARN]: login failed - Invalid Employeeid 250300025
2025-02-14 21:23:07 [ERROR]: ❌ Login error for 250300025: Invalid credentials
2025-02-25 11:06:28 [INFO]: Principle Dr. John Doe added successfully
2025-02-25 11:07:11 [INFO]: ✅ Successful login: 25030002
2025-02-25 11:08:30 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:08:35 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:08:40 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:08:40 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:08:40 [INFO]: ✅ Principle kalu updated successfully
2025-02-25 11:08:45 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:08:50 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:08:55 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:09:00 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:09:05 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:09:10 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:09:15 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:09:20 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:09:25 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:09:30 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:09:35 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:09:40 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:09:45 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:09:50 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:09:55 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:10:00 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:10:05 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:10:10 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:10:15 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:10:20 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:11:18 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:11:28 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:11:33 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:11:38 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:11:43 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:12:05 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:12:10 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:12:15 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:12:20 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:12:25 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:12:30 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:12:35 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:12:40 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:12:45 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:12:50 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:12:55 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:13:31 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:13:31 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:13:36 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:13:41 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:13:46 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:13:51 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:13:56 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:14:01 [INFO]: User 25030002 authenticated as principle
2025-02-25 11:14:06 [INFO]: User 25030002 authenticated as principle
2025-02-25 14:00:03 [ERROR]: Invalid token: jwt expired
2025-02-25 14:00:07 [ERROR]: Invalid token: jwt expired
2025-02-26 16:23:12 [ERROR]: Invalid token: jwt expired
2025-02-26 16:23:17 [ERROR]: Invalid token: jwt expired
2025-02-26 16:23:48 [ERROR]: Error fetching principles: Authentication required
2025-02-26 16:23:57 [INFO]: ✅ Successful login: 25030002
2025-02-26 16:24:15 [INFO]: User 25030002 authenticated as principle
2025-02-26 16:24:18 [INFO]: User 25030002 authenticated as principle
2025-02-26 16:24:23 [INFO]: User 25030002 authenticated as principle
2025-02-26 16:24:28 [INFO]: User 25030002 authenticated as principle
2025-02-26 16:24:33 [INFO]: User 25030002 authenticated as principle
2025-02-26 16:24:38 [INFO]: User 25030002 authenticated as principle
2025-02-26 16:24:43 [INFO]: User 25030002 authenticated as principle
2025-02-26 16:24:48 [INFO]: User 25030002 authenticated as principle
2025-02-26 16:24:53 [INFO]: User 25030002 authenticated as principle
2025-02-26 16:24:58 [INFO]: User 25030002 authenticated as principle
2025-02-26 16:25:03 [INFO]: User 25030002 authenticated as principle
2025-02-26 16:25:08 [INFO]: User 25030002 authenticated as principle
2025-02-26 16:25:13 [INFO]: User 25030002 authenticated as principle
2025-02-26 16:25:18 [INFO]: User 25030002 authenticated as principle
